stop_id,stop_name,stop_lat,stop_lon,shop_related_count,hospital_related_count,school_related_count
328601,Rakowiecka - Sanktuarium,52.205211,20.999071,10,18,13
328602,Rakowiecka - Sanktuarium,52.206381,20.999281,10,17,13
328603,Rakowiecka - Sanktuarium,52.205155,20.9994,11,18,14
328604,Rakowiecka - Sanktuarium,52.205617,20.999336,11,17,14
400102,Pl. Zawiszy,52.224696,20.987462,14,19,12
400103,Pl. Zawiszy,52.225006,20.990644,15,19,12
400104,Pl. Zawiszy,52.224284,20.987951,13,20,12
400105,Pl. Zawiszy,52.225265,20.990511,14,20,12
400106,Pl. Zawiszy,52.225019,20.989793,12,18,13
400107,Pl. Zawiszy,52.223681,20.991333,13,21,11
400108,Pl. Zawiszy,52.225066,20.989743,12,18,13
400113,Pl. Zawiszy,52.226184,20.987985,13,22,11
400114,Pl. Zawiszy,52.226629,20.987686,17,24,12
400115,Pl. Zawiszy,52.224067,20.989348,13,18,12
400201,Ochota - Ratusz,52.222508,20.986632,12,16,10
400202,Ochota - Ratusz,52.22282,20.986844,13,16,11
400301,Pl. Narutowicza,52.220396,20.984985,9,17,13
400302,Pl. Narutowicza,52.219183,20.98338,12,17,14
400307,Pl. Narutowicza,52.218734,20.983312,13,17,14
400308,Pl. Narutowicza,52.219008,20.983505,13,16,14
400309,Pl. Narutowicza,52.218801,20.984664,13,16,13
400310,Pl. Narutowicza,52.218833,20.98461,13,16,13
400311,Pl. Narutowicza,52.218947,20.984629,13,16,13
400312,Pl. Narutowicza,52.218968,20.98456,13,16,13
400313,Pl. Narutowicza,52.218898,20.983553,13,16,14
400315,Pl. Narutowicza,52.218107,20.983776,11,17,13
400316,Pl. Narutowicza,52.217667,20.982605,12,16,14
400401,Och-Teatr,52.214723,20.97996,11,13,17
400402,Och-Teatr,52.215146,20.979874,11,13,17
400403,Och-Teatr,52.214304,20.979401,9,13,19
400404,Och-Teatr,52.214603,20.979609,10,12,19
400503,Bitwy Warszawskiej 1920 r.,52.212011,20.97741,14,16,23
400504,Bitwy Warszawskiej 1920 r.,52.210316,20.975821,13,18,16
400505,Bitwy Warszawskiej 1920 r.,52.210586,20.977586,12,15,19
400507,Bitwy Warszawskiej 1920 r.,52.210669,20.977827,11,14,20
400551,Bitwy Warszawskiej 1920 r.,52.211971,20.977594,13,15,22
400554,Bitwy Warszawskiej 1920 r.,52.211844,20.976959,14,16,23
400556,Bitwy Warszawskiej 1920 r.,52.210809,20.97796,11,14,18
400601,Dickensa,52.205955,20.972424,8,15,19
400602,Dickensa,52.205434,20.971374,9,13,17
400603,Dickensa,52.205556,20.971812,9,15,18
400604,Dickensa,52.205978,20.972135,8,15,18
400605,Dickensa,52.206074,20.971125,9,15,17
400656,Dickensa,52.206434,20.969912,9,14,16
400701,Korotyńskiego,52.202141,20.969024,8,7,16
400702,Korotyńskiego,52.203134,20.969346,7,9,17
400703,Korotyńskiego,52.20241,20.969028,8,8,16
400704,Korotyńskiego,52.202841,20.969346,8,9,16
402701,CH Blue City,52.212038,20.954871,7,5,6
402702,CH Blue City,52.212007,20.955585,7,5,6
